Node,Degree
second_state,11
pseudo_GPS_signal,11
optical_marker,11
improved_method,11
tile,11
analyse,11
item_transfer_point,11
handover_request,11
weight_value,11
encapsulate,11
flight_control_instruction,11
electromechanical_component,11
fluid_flow,11
self-stabilizing_spherical_UAV_camera_assembly,11
UaV_chassis,11
large_group,11
claimed,11
name,11
second_measuring_path,11
wireless_communication_tower,11
automatic_flight,11
toprovide,11
vehicle_windshield,11
scheduler,11
UAV_network,11
smart_device,11
indoor_environment,11
geographic_designators,11
location_query,11
user_view,11
flange,11
transform_information,11
tension_release_mechanism,11
system_component,11
personal_security,11
few_meter,11
hereinafter,11
millimeter,11
monitored_space,11
other_party,11
inefficient,11
remote_receiver,11
power_output,11
deliverydevice,11
industrial_plant,11
blower_fan,11
fixed_device,11
delivery_truck,11
bag,11
thefirst,11
small,11
epoxy,11
same_area,11
winch_line,11
pavement,11
first_stage,11
first_video_frame,11
metric,11
difference_measure,11
personal_information,11
notification_message,11
more_memory,11
secondary_control_signal,11
reflected_light_signal,11
different_terminal,11
optical_filter,11
more_shape,11
first_wing,11
audio_processing_channel,11
RFID_tag,11
data_instruction,11
authorisation,11
L_band,11
image_data_packet,11
digit,11
adaptor,11
tall_building,11
high_degree,11
network_configuration_parameter,11
movable_object_relative,11
more_terminal,11
GPS_system,11
auxiliary_product_inventory,11
drive_motor,11
non-programmable_component,11
programmer,11
subsequent,11
first_communication_interface,11
close-side_setting,11
remote_user_device,11
estimated_insurance_claim,11
safety_device,11
printer,11
pound,11
mobile_machine,11
first_display_window,11
camera_feed,11
merchandizing_fixture,11
Deployment,11
physical_reality,11
observation,11
unintended_receiver,11
event_definition,11
video_sensor,11
percentage,11
base_station_path,11
airborne_material,11
direct_measurement,11
remote_tracker,11
thetether,11
inresponse,11
instrumentation,11
reference_information,11
video_content,11
appliance,11
communication_path,11
thedevice,11
more_channel,11
respective_location,11
proximity_input,11
electronic_glassesheadsets,11
VTOL_aircraft,11
detachable_drone,11
vehicle-to-vehicle_communication,11
incident_light,11
hook,11
prop_saver,11
respective_time,11
flight_position,11
more_propeller_unit,11
side-lobe_level,11
actuator_assembly,11
localization,11
more_beam,11
transmission_beam,11
label,11
main_wing_motor,11
central_position,11
perch,11
graph,11
detection_subsystem,11
FPV,11
touchscreen,11
time_demand,11
stem,11
central_controller,11
trailer,11
first_node,11
togenerate,11
ducted_fan,11
different_set,11
suspend,11
thecamera,11
camera_assembly,11
enhanced_smoothed_navigation_solution,11
dosimeter,11
virtual_reality,11
control_area,11
modular_computer_component,11
safety_feature,11
paint_fluid,11
power_loss,11
tolerance_distance,11
current-sampling_capacitance_circuitry,11
radiate,11
latch,11
first_frequency,11
magnetic_flux,11
reliance,11
Internet_access,11
flight_control_data,11
collar,11
durability,11
object_detection,11
more_data_processor,11
thermal_envelope,11
small_number,11
available_bandwidth,11
on-board_computer,11
wide_field,11
respective_power_domain,11
rope,11
spacecraft,11
clear,11
third_transmission_synchronization_signal,11
RAN_node,11
sonar_data,11
physical_characteristic,11
todetermine,11
power-multiplexer_control_circuitry,11
attachment_device,11
developer,11
power_receiver,11
horizontal_processing,11
heavy_load,11
exercise,11
second_environmental_map,11
propeller_disk,11
control_processor,11
UAV_andor,11
various_configuration,11
main_beam,11
C_band,11
data_packet,11
express,11
more_location_identifier,11
other_part,11
maximum_capacity,11
mix,11
multiple_route,11
module_data,11
RF_sensor,11
MM_fiber,11
first_telemetric_data,11
video_signal,11
thruster,11
sudden_change,11
remote-control_mode,11
multiple_ring_stage,11
linkage,11
vertical_reliability_map,11
navigation_assistance,11
fixed-wing_drone,11
flexible_parafoil_canopy,11
credit,11
third_type,11
emergency_notification_device,11
second_orientation,11
physical_location,11
other_element,11
hit,11
plural_wireless,11
Air_Traffic_Control_system,11
missile_system,11
quadcopters,11
interior_compartment,11
municipality,11
future_location,11
fault,11
mobile_communication,11
arm_unit,11
CPU,11
other_issue,11
cellular_communication_signal,11
driverless_car_owner,11
inner_bladder,11
second_laser_beam,11
device_identifier,11
camera_connection_housing,11
logistics,11
functionaloperational_technical_description,11
geographical_region,11
first_frame,11
medical_emergency,11
OFS_module,11
broadcast_message,11
current_GPS_location,11
authorized_recipient,11
launch_actuator,11
vehicle_crash_site,11
lift_force,11
short-period_spreading_code,11
applique,11
intermediate_device_system,11
such_drone,11
temperature_bias,11
following_advantage,11
token,11
various_system,11
frequency_receiver_device,11
geographic_map,11
sampling,11
incident_area,11
approximate_target_location,11
individual_object_management_information,11
final_destination,11
valuable_tool,11
flight_command,11
base_plate,11
permissible_area,11
present_invention_relate,11
Hermite-Gaussian_mode,11
human_robot_interface,11
ubiquity,11
two,11
requesting_driver,11
retail_shrinkage_data,11
certificate_data,11
human_intervention,11
sending,11
upper_access-point,11
lip,11
retract,11
third_message,11
desired,11
Cloud-based_database,11
geospatial_location,11
more_point,11
site_survey,11
virtual_reality_system,11
first_power_source,11
flight_plan_modification,11
control_scheme,11
Invention,11
multiple_level,11
civilian_application,11
inch,11
cash,11
opposite_side,11
noise_evaluation_image,11
transmission_signal,11
simplicity,11
positioning_system,11
various_mean,11
flight_attitude,11
such_technique,11
high_accuracy,11
commercial_use,11
energy_usage,11
constant_power_rail,11
more_existing_pavement_marking,11
emergency_landing,11
signal_parameter_vector,11
other_action,11
redundancy,11
likely,11
energy_storage,11
wearable_device,11
scale_model,11
classifier,11
residence,11
high_wall,10
km,10
high_intensity,10
most_drone,10
first_new_data,10
power_state,10
security_key,10
ignition_device,10
disclosed_embodiment,10
operating_condition,10
cradle,10
second_output_node,10
first_side_wall,10
primary_beam,10
user_account,10
first_flight_path,10
target_passenger,10
shoot,10
broadband,10
reference_numeral,10
attract,10
depth_data,10
first_physical_feature,10
light_pulse,10
environmental_information,10
wireless_communication_channel_management,10
digital_elevation_model,10
treaty,10
UAV_child_module,10
light-emitting_device,10
content_data_packet,10
National_Airspace_System,10
photographic_image,10
horizontal_movement,10
out_portion,10
chemical_taggant,10
spherical_camera,10
error_amplifier,10
response_signal,10
wind_speed,10
first_casing_member,10
task_allocation,10
safe_landing,10
magnetic_induction_scheme,10
meaning,10
first_coordinate_system,10
disclosure_herein,10
spectral_analyzer,10
considerable_amount,10
index,10
first_scan_line,10
bobber,10
drone_aircraft,10
vehicle_body,10
first_camera_unit,10
stator,10
vertical_non-obstacle_estimation,10
E-field_sensor,10
preparation,10
circumference,10
primary_target,10
bidirectional_communication,10
aerosol_sample,10
navigation_data,10
microstrip_line,10
distribution_apparatus,10
voltage_level_transition,10
competitor,10
terminal_end,10
three-dimensional_location,10
purchaser,10
power_pack,10
onboard_C3_system,10
first_state,10
threaded_interface,10
rotor_system_module,10
thecontrol_system,10
ranging,10
Bluetooth,10
geo-fences,10
failure_event,10
single_image,10
demonstration_path,10
not,10
more_aerially-mobile_device,10
detection_sensor,10
jet,10
geolocation,10
second_corner,10
second_stage,10
LTE,10
spatial_coordinate,10
wand,10
driving_apparatus,10
aposition,10
HAV-400,10
absolute_coordinatesystem,10
more_microprocessor,10
second_signal_data_block,10
decrypt,10
interfacing,10
scanning,10
compensation,10
nearby_person,10
different_group,10
portability,10
hinge,10
dismount_detection,10
received_power,10
fuselage_body,10
target_region_image,10
various_part,10
cloud_seeding,10
troop,10
avionics,10
fibre,10
UaS,10
more_problem,10
liquid_crystal,10
second_communication_module,10
social_network,10
fire_retardant,10
bladder,10
different_region,10
battery_base,10
unmanned_aerial_vehicle_comprises,10
visual_field,10
rural_area,10
fraction,10
first_subset,10
effective,10
powered_flight,10
patent_Literature,10
void,10
physical_environment,10
reporting,10
roughness,10
preset,10
inspection_area,10
formatted_message,10
video_game,10
moresensors,10
data_stream,10
environment_type,10
theobject,10
high_variability,10
such_area,10
data_path,10
cooling,10
priority_measure,10
second_travel_instruction,10
right_wing,10
fluidic_communication,10
first_composite_image,10
sufficient_force,10
river,10
denial_device,10
integral_alignment_indicator,10
high_altitude_platform,10
single_rotor,10
network_communication,10
transmission_medium_fixture,10
knowledge_base,10
clock_signal_source,10
obscurant,10
conference,10
various_way,10
first_voltage,10
interim_forward_navigation_solution,10
vent,10
second_driver,10
secure_storage_container,10
stabilizer_assembly,10
more_light_sensor,10
high_data_rate,10
autonomous_mode,10
human_life,10
holder,10
way_point,10
reference_camera,10
operating_area,10
signal_classification_process,10
gathering,10
candidate_direction,10
delivery_service,10
multi-rotors,10
more_vehicle,10
disconnect,10
error_amplifier_output_node,10
first_travel_instruction,10
free-space_optical_communication,10
different_way,10
cab,10
processing_center,10
thebattery,10
terminal_apparatus,10
first_plenum,10
timing_controller,10
bottom_direction,10
charge_station,10
light_portion,10
several_embodiment,10
crowd,10
shade,10
auser,10
data_store,10
received_radio_signal,10
control_command,10
controller_body,10
electrical_component,10
transmitter_horn_antenna,10
flight-specific_information,10
compact,10
substantial_correspondence,10
processing_load,10
sensor_reading,10
least_aportion,10
horizontal_direction,10
visual_boundary,10
locomotion,10
communication_target_device,10
suitable_type,10
terrestrial_network,10
infrared_sensor,10
aileron,10
hardware_component,10
aircraft_symbol,10
presenter,10
originator,10
peer,10
first_virtual_model,10
activity_database,10
low_power,10
mid_air,10
identifier_device,10
barcode,10
various_sensor,10
reduced_width_portion,10
substantial_time,10
first_contact_region,10
transponder_key,10
controlled_flight,10
communicating,10
second_propeller_blade,10
more_photographic_image,10
communication_technology,10
combustion,10
solar_collector,10
buoyant_force,10
Jan,10
general_location,10
photosensitive_imaging_chip,10
camera_affixed,10
autonomous_unmanned_aerial_vehicle,10
fixed-location_hardware,10
more_second_signal,10
second_acoustic_signature,10
end_point,10
avoidance_cue,10
communication_facility,10
first_field,10
ACS,10
accumulation,10
location_coordinate,10
approximate_location,10
military_personnel,10
data_channel,10
next_resource_node,10
ridge,10
man-in-the-middle_attack,10
anunmanned_aerial_vehicle,10
horizontal_non-obstacle_estimation,10
maximum,10
lateral_direction,10
closed_position,10
bulk,10
public_safety_personnel,10
geometric_relationship,10
mirrored_surface,10
successive_navigation_function,10
current_drone,10
model_object,10
safe_evacuation_route,10
acamera,10
grind,10
superimposition,10
network_source_signal,10
Predator,10
hardware_interface_layer,10
HEMS_system,10
first_aerial_device,10
great_risk,10
capable,10
third_light,10
more_navigation_command,10
local_base_station,10
user_equipment_device,10
nest,10
turbocharger,10
front_direction,10
significant_event,10
emergency_responder,10
IQ_data,10
slave,10
dense_field_camera,10
pre-mission_data,10
shaded_region,10
mobiledevice,10
output_power,10
controlsystem,10
nothing,10
thedirection,10
V,10
anticipate,10
suitable_manner,10
autonomy,10
drone_speaker_system,10
specific_type,10
system_processor,10
first_parcel_carrier,10
LEDs,10
retail_department,10
sonobuoy_system,10
aerial_view,10
sonar_lobe,10
decade,10
aerodynamic_surface,10
servo_actuator,10
apayload,10
other_equipment,10
sonobuoy_receiver,10
first_transaction_data,10
hostile_force,10
head_movement,10
video_surveillance_system,10
open-side_setting,10
ring_signal,10
past,10
retransmission,10
prefer,10
entire_system,10
theaircraft,10
WWAN_communication,10
different_part,10
breach,10
tomato,10
treatment,10
vehicle_position,10
seat,10
aero-optical_flow_region,10
govern,10
integral_part,10
unmanned_autonomous_vehicle,10
reception_tray,10
object_model_database,10
filtered_2-D_image,10
A1,10
sonar_module,10
switchable_mirror,10
photosensitive_element,10
gravity_curve,10
mobile_transponder,10
first_ultrasonic_sensor_array,10
second_arm,10
mounting,10
packaging,10
DC,10
connector_cup,10
optical_path,10
myriad,10
prohibit,10
predetermined_location,10
ladder,10
fabrication,10
interface_connector,10
vehicle_operator,10
vehicle_travel,10
useful,10
exhaust_gas_energy,10
drone_flight,10
adjuster,10
virtual_360-degree_view_environment,10
first_program,10
upper_limit,10
balance_track,10
second_point,10
aforementioned_drawback,10
second_sensing_data,10
fog,10
fruit,10
scene_feature,10
air_drag,10
laser_trace,10
emitted_light,10
computer_program_code,10
viewable_interface,10
theapparatus,10
different_direction,10
navigator,10
terminal_antenna_beam,10
unmannedvehicles,10
USP_vehicle,10
wait,10
mechanical_mean,10
mechanical_system,10
logical_communication,10
respective_ring_stage,10
reporting_system,10
bystander,10
explore,10
impart,10
withstand,10
emergency_support,10
position_error,10
UE_category,10
power_grid,10
SWIL,10
establishment,10
thesecond,10
carbon_fiber,10
C,10
aerial_smoke_generator_system,10
miniature,10
toy,10
mission_directive,10
shock,10
second_subset,10
actual_hardware,10
flight_range,10
throttling,10
auto-zoom_process,10
rear_air_propulsion_device,10
powdered_substance,10
threat_UaV,10
communication_tower,10
airborne_moisture,10
someone,10
planned_movement,10
service_run,10
defined_space,10
MEMS,10
C3_message,10
sensor_device,10
surface_warfare_model,10
other_technique,10
throughhole,10
brake_lever,10
eyepiece_application,10
conventional_technology,10
first_person,10
other_field,10
wireless_carrier_network,10
confusion,10
overall_mission,10
workflow,10
known,10
second_distance,10
optical_element,10
handheld_device,10
carbon,10
hazard_track,10
fourth_aspect,10
adrone,10
power_management,10
indicated_game_action,10
heat_exchanger,10
sensor_input,10
energy_level,10
transfer_station,10
flight_signal,10
environmental_impact,10
downtime,10
executable,10
interfere,10
first_altitude,10
spatial_orientation,10
LEDS,10
deployable_equipment,10
more_direction,9
detection_source,9
second_plenum,9
great_distance,9
tendency,9
potential_risk,9
terminal_antenna,9
virtual_beacon,9
digital_image_entity,9
gas_valve,9
computer-program_product,9
charge_level,9
discloses,9
temperature_sensor,9
such_task,9
different_portion,9
image_stream,9
unmanned_aerial_vehicle_controller,9
component_part,9
digital_signal,9
unmanned_cognitive_vehicle,9
infrared_data,9
flight_distance,9
low_intensity,9
shading_system,9
bus_data,9
acontroller,9
double_clad_fiber,9
vane,9
identification_protocol,9
executable_code,9
particular_feature,9
surfaceof,9
California,9
low_intensity_portion,9
mission_planner,9
cellular_communication_base,9
traffic_congestion,9
current_system,9
identified_feature,9
spatial_relationship,9
ii,9
second_ROI,9
ground_crew,9
gas_turbine_engine,9
discovered_object_spatial_data,9
rubber,9
onthe,9
multiple_power_domain,9
differentiate,9
rotation_rate,9
tilting,9
treatment_center,9
crane,9
bus,9
modular_fixture,9
extracted_GPS_parameter,9
surveillance_video,9
payload_frame,9
methane,9
manufacturing_process,9
drone_system,9
object_data,9
mobile_audio_input_device,9
verification_information,9
more_terminal_antenna_beam,9
emerge,9
navigation_command,9
charge_device,9
want,9
present_TCR_drone_assembly,9
conversion,9
subsequent_frame,9
third_portion,9
flight_vehicle_control,9
exclude,9
ACU,9
landing_assembly,9
deem,9
Asset,9
vibration_isolation_system,9
frame_latch,9
light_detector_holder,9
corresponding_position_region,9
first_normal_vector,9
out_skin,9
fuel_efficiency,9
resource_allocation_system,9
magnetic_field_vector,9
rock,9
confidence_score,9
marketplace,9
preconfigured_deviation_pattern,9
first_communication_module,9
financial_institution,9
constant_velocity,9
specific,9
asecond,9
broadcasting,9
parking_rack,9
first_route,9
rendering,9
second_display_window,9
pulleys,9
set_distance,9
rain_induction,9
sharing,9
several_drone,9
central_axis,9
proprietor,9
warning_signal,9
party_location,9
transfer_member,9
critical_element,9
primary_control_signal,9
sinkfloat_mission,9
Methods,9
radio_frequency_pre-selector,9
requester,9
second_user,9
oscilloscope,9
various_implementation,9
differ,9
unmanned_underwater_vehicle,9
heat_transfer,9
user_experience,9
more_sensing_system,9
more_asset,9
retention-relevant_storage_device,9
guidance_setpoints,9
locking_mechanism,9
output_voltage,9
rear_part,9
second_guide,9
bea,9
digital_representation,9
historical_mission_data,9
listener,9
malaria,9
remote_system,9
mind,9
medical-support_device,9
claimed_invention,9
ofthe_invention,9
real-time_video,9
react,9
similar_type,9
different_frequency,9
present_invention_concern,9
optionally,9
moving_vehicle,9
traditional_approach,9
investigate,9
smoke_screen,9
canopy,9
third_assembly,9
data_storage_cartridge,9
sensed_position,9
more_trip_objective,9
more_command,9
expansion_interface_mechanism,9
specified_range,9
wing_panel,9
telemetry,9
flight-specific_ranking_data,9
user_action_capture_device,9
destination_position,9
additional_time,9
extended_period,9
2-D_image,9
battery_base_body,9
maintaining,9
store_layout,9
acoustic_energy_source,9
secret,9
non-transitory_location,9
authentication_tag,9
unmanned_aerialvehicles,9
spectral_filter,9
first_biasing_element,9
collateral_damage,9
communication_capability,9
flow_rate,9
extra_volume,9
drone_UE,9
consecutive_image,9
docking_device,9
interact,9
understood,9
waveguide_element,9
second_magnet,9
first_three-dimensional_representation,9
various_operation,9
transfer_fee,9
entail,9
ice_layer,9
ambient_environment,9
continuance,9
pod_door,9
first_signal_characteristic,9
second_photodetectors,9
three-dimensional_position,9
rendezvous_point,9
curvilinear_distance_map,9
military_aircraft,9
close_air_ground_support,9
more_lens,9
contactless_communication,9
air_sample,9
other_approach,9
real_image,9
novel_method,9
channel_response,9
mission_parameter,9
theimages,9
streetside_device,9
neutralize,9
deiced_skin_surface,9
reject,9
quadcopter,9
strain,9
partial_throttling,9
topic,9
multiple_UaVs,9
micro-processor,9
range-restricting_control_unit,9
total_number,9
A2,9
data_service,9
witness,9
vehicle_location,9
routine,9
single_battery,9
radio_beacon,9
unmanned_surface_vehicle,9
important_role,9
UAV_platform,9
other_power_source,9
repair_shop,9
image_display_section,9
image_processing_device,9
camera_unit,9
defense,9
software_instruction,9
edge_line,9
determining,9
first_battery_module,9
therein_instruction,9
acoustic_image,9
roof_panel,9
power_valve,9
cover_unit,9
spectrographic_data_set,9
rotational_motion,9
user_gesture_information,9
emplacement_location,9
second_flight_configuration,9
flexible_film,9
multiple-camera_network_system,9
variable_IGVs,9
tablet_computer,9
approximation,9
fuel_station,9
cache_memory,9
various_field,9
point_cloud_data,9
landing_mode,9
longitude,9
insertion,9
RGB_camera_assembly,9
solid,9
e,9
first_arm,9
horn_antenna,9
intrusion,9
thebody,9
yaw_axis,9
camera_location,9
current_signal_quality,9
logic_input,9
labor,9
delivered_item,9
self-driving_car,9
other_mobile_device,9
second_control_signal,9
agriculture,9
communicator,9
unmanned_remote_control_inspection_vehicle,9
adverse_effect,9
video_display,9
target_drop-off_spot,9
cube,9
medium_content,9
safe_operation,9
amplifier_module,9
safety_risk,9
antenna_beam,9
bank,9
strain_force,9
other_aerial_vehicle,9
treat,9
gaming,9
short_period,9
obstruction_database,9
photographic_data,9
propulsion_assembly,9
visual_line,9
inflation,9
wind_field,9
subject_invention,9
interior_surface,9
vertical_processing,9
signal_power_level,9
charge_manager,9
battery_management_system,9
readable_program_code,9
weight-balance_fixation_position,9
thepropeller,9
information_request,9
infrared_radiation,9
time_difference,9
realization,9
first_transistor,9
large_UAVs,9
support_tube,9
other_payload,9
light_fixture,9
TCR_drone,9
color_correction,9
head-mounted_display_device,9
conform,9
compressible_bladder,9
thermal_signature,9
handover_method,9
hotspot,9
UAV_fly,9
anything,9
communication_subsystem,9
conventional_helicopter,9
portionof,9
mission_data,9
painting_system,9
electrical_charge,9
ownership,9
top_surface_section,9
facility_management_system,9
refill,9
constraint_measure,9
mobile_apparatus,9
capability_information,9
gun_mount,9
geofence_information,9
profile_data,9
viewing,9
pusher_propeller,9
enables,9
network_architecture,9
described,9
wireless_access_network,9
first_rotor_assembly,9
inductance,9
forward_direction,9
propeller_guard,9
empennage,9
spectral_component,9
10,9
anaerial_vehicle,9
other_quantity,9
interior_cavity,9
stay,9
virtual_map,9
theelectronic_device,9
phase_difference,9
swap,9
RF_antenna,9
deactivate,9
common_axis,9
IoT_device,9
natural_condition,9
other_personal_safety_device,9
output_data,9
more_distance_sensor,9
trigger_sensor,9
endpoint,9
fused_image,9
close-up_picture,9
meteorological_condition,9
first_GRL_Device,9
spell_sequence,9
airstream,9
compression_spring,9
target_building,9
filtering,9
fishhook,9
vegetation_index,9
doorway_detection,9
wingspan,9
potential_problem,9
simultaneous_localization,9
tail_motor,9
lobe,9
required_number,9
filter_module,9
drone_control_system,9
unmanned_aerial_vehicle_apparatus,9
vegetation_index_calculation_method,9
candidate,9
second_number,9
allows,9
control_panel,9
sound_wave,9
first_remote_control_device,9
social_medium_site,9
computing,9
first_account,9
centerline,9
minimum_number,9
landing_station,9
attachment_mechanism,9
impermissible_area,9
server_component,9
insurance-related_event,9
primary_control_element,9
aerial_cable,9
extends,9
tow_bar,9
modem_parameter,9
atmospheric_condition,9
front_portion,9
network_control_center,9
user_action_information,9
second_identity_data,9
front_air_propulsion_device,9
transaction_packet,9
vehicle_collision,9
imply,9
registration_request,9
ride,9
recognition,9
first_flow_field,9
seeder-feeder_mechanism,9
supersonic_cruise,9
gas_analyzer,9
initial_computer_model,9
email,9
new_position,9
optical_coupler,9
spatial_information,9
avehicle,9
apparent_source,9
gyratory_crusher,9
different_user,9
civilian,9
foundation,9
such_data,9
ATC_system,9
operative,9
human_body_part,9
collapsible_lift_propeller,9
ground_level_object,9
signal_energy,9
wireless_network_connection,9
preview_image,9
thecontent,9
first_capacitor,9
logic_device,9
waveguide_array,9
authority,9
more_operating_rule,9
immediate_environment,9
second_tail_panel,9
other_side,9
U-turn_area,9
HMD,9
sonar_bubble,9
new_way,9
first_ROI,9
stack,9
diagnostic_status,9
relative_rotation,9
external_factor,9
best_mode,9
defined_area,9
second_sensing,9
extended_position,9
curved_surface,9
foam,9
predetermined_interval,9
drone_air_space,9
motion_picture,9
corresponding_transmission_synchronization_signal,9
W,9
Synthetic_Vision,9
modular_aircraft,9
receive_information,9
conveyor_belt,9
characterization,9
optical_communication_system,9
image_entity,9
overall_weight,9
private_property,9
transformation,9
hop,9
decision_making,9
coupledto,9
global_clock_signal,9
first_value,9
assumption,9
thecontroller,9
vehicle_relative,9
first_drone_attitude,9
payload_mount_attachment,9
interface_unit,9
blend,9
limited,9
first_slide_bar,9
second_rotor,9
user_interface_device,9
horizontality,9
second_unmanned_vehicle,9
spirit,9
technical_field,9
pitch_axis,9
finger_gesture,9
engine_module,9
restricted_airspace,9
various_purpose,9
horizontal_thruster,9
shut,9
peripheral_device,9
SON,9
other_solution,9
first_input_voltage,9
remote_aircraft,9
automatic_system,9
audio_input_channel,9
age,9
horizontal_propulsion_propeller,9
University,9
thesoftware,9
pod_housing,9
drone-based_wireless_communication_system,9
access_information,9
engineering,9
phrase,9
power_requirement,9
deal,9
regulator,9
hollow_waveguide,9
override,9
SINR,9
customize,9
bandwidth_portion,9
light_sensor,9
power_component,9
electronic_speed_controller,9
mixer,9
radar_signature,9
mid-section,9
wireless_channel,9
pixel_intensity_value,9
positioning_unit,9
attachment_point,9
target_equipment,9
optical_link,9
receiving_system,9
exert,9
helios,9
fragment,9
proprotors,9
society,9
civilian_airspace,9
insurance_risk,9
service_technician,9
terrain_information,9
firing_pin,9
UAV_landing_pad,9
identification_module,9
modular_design,9
aligned_image,9
segmentation,9
second_slide_bar,9
first_control_signal,9
portable,9
driving_unit,9
spectrum_analyzer,9
payload_bay,9
other_item,9
single_mode_fiber,9
drone_control_machine,9
second_region,9
real-time_position_coordinate,9
human_lifeguard,9
time_consuming,9
individual_user,9
power-supply_transmitter,9
compile,9
actuator_system,9
summed_intensity_value,9
second_communication_signal,9
physical_subject,9
ignore,9
object_information,8
more_satellite,8
capacity-intensive_mobile_terminal,8
intelligent_mobile_transponder,8
wireless_side-channel_communication,8
certain_object,8
first_input_node,8
more_time,8
multiple_antenna_element,8
NASA,8
seek,8
dozen,8
specific_example,8
passive_radar_receiver,8
obviate,8
aerial_photograph,8
envision,8
large_payload,8
first_control_node,8
laser_light_source,8
spatial_environment,8
spatial_maneuver,8
troublesome_mode,8
top_distal_end,8
version,8
AP,8
output_device,8
parking_exchange_application,8
grasp,8
right_side,8
start_point,8
repowering,8
placement_indicator,8
landing_carousel,8
inventive_embodiment,8
precipitation,8
available_drone,8
small_portion,8
positioning_device,8
communication_mechanism,8
complication,8
promote,8
ICIAP_communication_network,8
captured_image_information,8
prevents,8
standardize,8
receive-resonator,8
ice_sheet,8
format,8
single_operator,8
unreliable_program,8
surveillance_drone,8
further_improvement,8
earth_surface,8
flight_path_instruction,8
tunnel,8
rotary_body,8
residential_address,8
aerial_imagery,8
magnetic_element,8
operable_frequency,8
jam,8
Internet_connectivity,8
graphene,8
victim,8
first_swing_arm,8
such_payload,8
flight_configuration,8
access_key,8
UAV_CNPC_system,8
theimage,8
more_objective_parameter,8
more_branch_housing_member,8
received_optical_signal,8
vantage_point,8
evolution,8
tracer,8
multiple_mode,8
reside,8
operation_management_system,8
central_computer_control_component,8
underside,8
particular_UV,8
deep_learning_model,8
phased_array_antenna_system,8
thepackage,8
conventional_UAVs,8
remote-control_instruction,8
resonance-type_coil_unit,8
line-deployment_mechanism,8
high_precision,8
slide,8
situational_context,8
emergency_message,8
suitability,8
tailboom_assembly,8
deployable_base_station,8
forward_motion,8
video_imagery,8
cancel,8
illumination_source,8
hollow_portion,8
base_unit,8
general_public,8
intermediate_portion,8
flexible_bladder,8
general_purpose_robotics,8
compressor-turbine_shaft,8
aerodynamic_drag_device,8
raw_data,8
second_joint_zone,8
total,8
network_traffic,8
coarse_waypoint,8
certificate,8
arcuate,8
slinger_disc,8
superior_performance,8
programmable_logic_device,8
scheduling_module,8
source_value,8
optical_beam,8
appendage,8
guarantee,8
multiple_power-mux_tile,8
gimbal_tracking_actuator,8
upgrade,8
dependent,8
high-speed_flight,8
staff,8
battery_circuit_board,8
second_mobile_wireless_device,8
parasite,8
infrared,8
smart_tag,8
unmanned_aerial,8
military_environment,8
different_area,8
readout,8
portable_computing_device,8
level-flight_mode,8
mechanical_feature,8
large_variation,8
stereoscopic_image_pair,8
theantenna,8
IEEE,8
above_problem,8
power-usage_density,8
processor_unit,8
conserve,8
identification_signal,8
comparing,8
scanning_device,8
navigation_assistance_UAV,8
previous_hash_value,8
first_place,8
audience,8
similar_problem,8
image_stabilization_information,8
airspace_map,8
power_supply_apparatus,8
exhaust_gas,8
ICIAP_connection_system,8
referencing,8
secondportion,8
JP,8
agricultural_data_collection_vehicle,8
readable_program,8
non-waveguide_region,8
map_image,8
non-retention_flip-flop,8
light_weight,8
new_location,8
certain_characteristic,8
sub-combination,8
new_point_position,8
off-board_location,8
data_retention_circuitry,8
position_control_system,8
electrical_vehicle,8
unidirectional_current_flow,8
second_time_series,8
decouple,8
vehicle-to-vehicle_collision,8
battery_unit,8
communication_node,8
drone_assembly,8
dimensional_area,8
second_channel,8
accumulate,8
happen,8
significant_reduction,8
device_user_interface_element_andor,8
net_warhead,8
ranking,8
flight_condition,8
another,8
plurality_ofUAVs,8
pseudo-satellite_signal,8
readable_optical_label,8
absolute_movement,8
real-time_image,8
charge_portion,8
B1,8
available_communication_device,8
attitude_control_system,8
three-dimensional_map,8
such_good,8
summarize,8
third_camera,8
filing_date,8
design_model,8
data_collection_system,8
time_interval,8
first_platform,8
first_skid,8
third_finger,8
flexible_part,8
mesh_sheet,8
silicone,8
toxin,8
more_reflection,8
dust,8
second_confidence_measure,8
include_mean,8
map_data,8
second_object,8
spectator,8
UAV_manufacturer,8
various_device,8
aerodynamic_force,8
lightweight_thermionic_microengines,8
second_ascent,8
particular_position,8
notion,8
wireless_router,8
aerodynamic_efficiency,8
epoch,8
portable_terminal,8
dirt,8
UAV_ID,8
pyrotechnic_device,8
flexible_material,8
first_measuring_path,8
bore,8
hinder,8
particular_area,8
catastrophic_event,8
solid_state_laser,8
more_communication_hub,8
duct_frame,8
method_aspect,8
non-GPS_sensing_system,8
first_unmanned_aerialdevice,8
package_transfer_operation,8
reference_imagery_database,8
flight_control_signal,8
phased-array_transmitter,8
input_port,8
command_word,8
vertical_motion_relative,8
artificial_intelligence,8
new_medium,8
cellular_base_station,8
RGB_portion,8
first_keep-out_region,8
recharging_station,8
large_chunk,8
second_node,8
rotor_relative,8
close_approach,8
unmanned_Aerial_Vehicles,8
control_station_instance,8
distribution_logistics,8
modules,8
buffer,8
phenomenon,8
multiply,8
recommend,8
visual_sensory_cue,8
remote_control_apparatus,8
signal_transmitter,8
rider,8
second_transmission_line,8
slice,8
extension_member,8
